pid,gid
1,8
1,12
1,6
2,12
3,6
3,12
4,2
4,7
4,0
4,6
5,22
6,6
6,0
6,1
6,13
6,17
7,5
7,23
7,6
8,5
8,17
8,1
8,15
9,12
9,3
10,6
10,2
10,23
11,12
11,24
11,6
12,12
12,15
12,19
13,10
13,1
13,15
13,5
14,1
14,2
14,6
14,17
15,6
15,8
15,18
16,5
16,12
16,23
17,12
18,6
19,12
19,21
19,6
20,19
20,15
20,12
21,6
21,12
21,24
22,24
22,6
23,19
23,12
23,15
24,6
25,22
26,22
27,6
27,16
27,8
28,6
29,5
29,0
29,23
30,15
30,11
30,5
30,1
31,23
31,5
31,0
32,6
33,6
34,22
35,0
35,2
36,0
36,22
37,6
38,6
38,12
39,6
40,23
40,12
40,5
41,0
41,5
42,15
42,5
42,9
43,0
43,5
44,2
44,15
44,6
45,6
45,9
46,15
46,12
46,5
47,5
47,9
47,15
48,1
48,6
48,17
48,2
49,12
49,24
50,15
50,5
50,19
51,12
51,6
51,24
52,3
52,16
53,18
53,6
53,5
54,23
54,0
55,22
55,0
56,12
56,6
56,24
57,5
57,23
57,12
58,3
58,6
58,12
59,6
59,22
59,2
60,6
60,12
60,24
61,12
61,24
61,6
62,6
62,12
63,19
63,3
63,9
64,2
64,22
65,24
65,12
66,0
66,5
67,22
67,6
67,5
68,24
68,6
69,6
69,23
70,23
70,8
70,12
71,6
71,12
72,22
72,9
72,6
73,14
73,6
74,19
74,15
74,12
75,12
76,6
76,8
77,24
77,12
78,5
78,0
79,12
79,15
79,5
80,8
80,21
80,6
81,0
82,22
82,12
83,6
83,0
83,23
84,6
84,8
84,12
85,5
85,9
85,15
86,23
86,6
86,8
87,6
87,12
87,24
88,12
89,12
90,12
90,24
91,6
91,24
91,12
92,12
92,24
93,5
93,23
93,6
94,4
94,0
95,5
95,22
95,0
96,15
96,5
96,12
97,6
98,12
99,5
99,8
99,23
100,12
100,6
101,22
101,20
