pago_id,uid,pid,pro_id,fecha
10716,106,21,7,2021-12-13
10700,64,59,3,2021-05-22
10672,17,26,6,2021-08-04
10387,141,99,9,2021-03-04
10439,9,97,13,2021-11-11
10367,48,49,16,2021-11-20
10400,35,35,7,2021-08-01
10521,57,99,13,2021-07-17
10665,5,44,13,2021-04-19
10449,47,64,7,2021-02-17
10453,62,11,17,2021-12-22
10626,46,20,10,2021-03-11
10454,62,81,5,2021-06-02
10546,12,50,3,2021-11-17
10632,46,45,16,2021-11-26
10406,45,65,16,2021-09-26
10382,141,31,9,2020-11-04
10415,82,38,18,2020-12-31
10522,57,75,7,2021-11-23
10366,48,97,13,2021-12-22
10422,59,97,13,2021-03-09
10491,69,83,14,2021-05-22
10444,32,65,16,2021-10-18
10556,13,5,10,2021-05-05
10567,53,5,11,2021-11-25
10575,72,93,8,2021-05-20
10681,130,41,4,2021-07-26
10587,19,8,7,2020-07-14
10464,105,35,2,2021-11-09
10736,115,42,12,2020-10-14
10471,41,26,6,2021-05-03
10401,45,68,19,2020-05-31
10568,53,84,11,2021-11-25
10619,87,42,4,2021-07-12
10455,62,60,4,2021-08-15
10687,52,95,6,2020-10-22
10398,35,5,16,2021-08-22
10516,36,75,6,2021-07-11
10524,57,101,1,2021-11-21
10452,62,54,5,2021-10-27
10533,20,51,5,2021-08-17
10721,4,31,9,2021-08-02
10440,30,53,6,2021-06-01
10602,28,99,19,2021-04-19
10550,21,75,2,2021-09-28
10407,45,79,19,2020-11-09
10722,4,100,1,2021-02-06
10553,21,62,11,2021-10-16
10560,43,74,14,2021-11-10
10502,51,72,19,2021-01-03
10518,75,83,14,2021-12-11
10551,21,13,11,2021-11-16
10472,41,77,18,2021-04-16
10651,31,73,13,2021-09-23
10566,53,13,11,2021-11-23
10615,56,60,14,2020-09-26
10507,74,19,17,2021-09-29
10654,31,44,13,2021-08-20
10531,20,83,5,2021-12-04
10686,52,75,6,2020-12-28
10660,63,1,10,2021-05-03
10484,133,65,16,2021-10-05
10620,46,42,17,2021-09-16
10536,20,81,5,2021-10-12
10496,92,85,14,2021-08-08
10420,59,73,13,2021-01-24
10441,32,42,12,2021-05-09
10448,47,48,7,2020-10-30
10380,48,38,16,2020-11-16
10685,52,5,5,2021-08-22
10404,45,45,16,2021-11-02
10513,36,49,16,2021-04-12
10489,133,62,11,2021-08-22
10470,41,2,1,2021-12-14
10481,133,49,16,2021-10-04
10450,47,88,5,2021-02-15
10713,142,21,16,2021-12-26
10564,22,53,6,2021-12-23
10692,119,42,4,2021-12-03
10383,141,19,14,2021-03-19
10457,105,82,10,2021-02-11
10492,70,93,8,2021-06-01
10414,82,76,18,2021-08-18
10434,9,31,13,2021-11-11
10368,48,95,16,2021-10-06
10725,38,44,13,2021-03-22
10482,133,38,16,2021-09-21
10474,108,39,1,2021-07-01
10514,36,68,12,2021-12-20
10709,142,49,16,2021-12-30
10727,93,35,7,2021-12-08
10609,50,75,2,2021-06-08
10469,41,75,6,2021-08-30
10504,76,74,11,2021-03-05
10591,122,26,6,2021-12-27
10680,130,72,4,2021-09-11
10498,92,100,1,2021-03-20
10477,44,88,5,2021-12-03
10623,46,50,3,2021-04-02
10381,141,60,14,2021-02-25
10624,46,95,7,2021-07-08
10413,82,99,9,2021-08-30
10389,141,5,5,2020-07-08
10639,24,5,16,2020-12-27
10631,46,75,7,2021-07-09
10652,31,99,13,2021-10-02
10642,24,80,2,2021-04-25
10463,105,85,5,2021-08-20
10370,48,20,13,2021-03-08
10659,63,51,5,2021-04-30
10501,33,30,13,2021-11-26
10670,17,50,5,2021-01-02
10541,132,29,3,2021-11-23
10386,141,85,14,2021-01-31
10543,132,90,15,2021-06-21
10480,67,80,2,2021-09-16
10610,50,83,1,2021-07-13
10653,31,19,17,2021-02-26
10426,59,20,13,2021-01-30
10743,6,78,11,2020-10-30
10503,51,61,6,2021-07-11
10658,134,21,16,2021-11-03
10649,31,19,16,2020-12-15
10629,46,5,16,2021-12-11
10520,57,48,7,2021-06-16
10605,28,50,4,2021-06-05
10511,55,78,11,2021-03-31
10425,59,31,13,2021-01-25
10679,130,51,5,2021-01-30
10523,57,77,1,2021-08-12
10714,142,88,5,2021-08-24
10435,9,86,20,2021-08-14
10695,64,21,7,2021-09-13
10734,115,88,12,2021-11-14
10526,58,43,2,2020-06-03
10519,75,85,5,2021-12-05
10595,97,101,4,2021-10-18
10637,24,33,18,2021-01-04
10593,97,65,4,2021-10-19
