uid,pid,fecha
55,76,2021-09-05
65,1,2021-07-29
72,84,2021-04-29
42,97,2021-05-08
45,65,2021-09-26
82,38,2020-12-31
32,21,2021-12-15
142,50,2021-11-12
5,66,2021-09-30
45,48,2020-08-29
72,40,2021-09-03
30,100,2021-06-23
95,48,2021-08-31
53,13,2021-11-22
63,97,2021-03-03
19,8,2020-09-30
21,2,2021-07-15
82,34,2021-02-27
60,17,2021-08-23
21,62,2021-10-16
58,43,2020-06-03
132,2,2021-09-05
130,65,2021-07-01
40,65,2021-02-10
29,93,2021-08-30
52,95,2020-10-22
37,76,2021-05-24
73,81,2021-03-09
97,101,2021-03-31
18,7,2021-12-25
130,52,2021-10-18
22,86,2021-11-16
19,83,2021-09-24
24,33,2021-01-04
90,54,2020-11-01
42,73,2020-11-21
48,31,2021-10-13
53,84,2021-11-25
72,1,2020-06-18
5,75,2021-11-15
41,75,2021-08-30
130,48,2021-04-23
130,54,2021-01-04
7,62,2021-11-05
20,5,2021-11-23
21,48,2021-06-10
48,99,2020-12-28
63,51,2021-04-30
47,21,2021-04-25
28,31,2020-12-21
7,54,2021-11-20
133,19,2021-10-10
48,19,2021-04-27
56,101,2021-08-19
133,65,2021-10-05
60,53,2021-07-18
30,26,2021-12-19
76,48,2021-05-13
146,80,2021-12-02
31,38,2021-12-12
48,20,2021-10-04
93,72,2021-12-08
64,21,2021-09-13
45,72,2020-05-30
2,7,2021-12-15
105,85,2021-08-20
65,72,2021-09-26
62,54,2021-10-27
52,5,2021-08-22
56,40,2021-11-06
17,50,2021-03-03
146,49,2021-12-26
13,48,2020-11-29
87,40,2021-08-28
51,68,2020-12-09
102,86,2021-12-17
17,88,2021-07-21
9,99,2021-11-09
93,1,2021-11-13
68,68,2021-06-11
3,50,2020-08-31
49,2,2021-06-19
33,64,2021-10-18
37,99,2021-10-04
11,95,2020-12-08
133,49,2021-10-04
4,23,2020-08-29
87,93,2021-11-16
19,48,2020-09-02
35,21,2021-10-29
35,32,2021-05-03
72,40,2021-05-23
142,49,2021-12-30
4,26,2021-03-04
9,99,2021-11-05
59,73,2021-01-24
115,99,2020-07-11
4,39,2020-09-09
19,65,2020-09-22
40,5,2021-07-02
