uid,cid,fecha
33,142.0,2021-12-29
119,87.0,2021-10-13
5,89.0,2021-11-27
115,157.0,2021-05-18
22,93.0,2021-03-30
26,35.0,2020-10-03
75,109.0,2021-12-15
3,99.0,2021-06-02
141,121.0,2021-12-19
141,123.0,2021-02-10
37,130.0,2021-10-17
141,92.0,2021-10-12
72,103.0,2021-09-10
2,106.0,2020-09-20
55,124.0,2021-09-19
8,128.0,2021-11-06
47,140.0,2021-04-17
22,115.0,2021-12-11
51,144.0,2021-02-19
119,132.0,2021-12-12
21,137.0,2020-11-11
146,87.0,2021-10-25
16,45.0,2021-02-27
19,102.0,2020-07-30
23,110.0,2021-03-03
40,85.0,2021-07-20
119,72.0,2021-10-22
55,87.0,2021-07-29
44,106.0,2021-10-19
134,154.0,2021-10-17
13,156.0,2021-11-20
132,148.0,2021-11-21
46,133.0,2021-12-21
52,99.0,2021-06-17
74,46.0,2021-09-20
48,152.0,2021-08-15
15,111.0,2021-11-24
12,147.0,2021-12-06
3,43.0,2021-08-12
55,148.0,2020-12-18
3,103.0,2021-10-23
115,77.0,2021-04-07
40,119.0,2021-04-25
132,8.0,2021-11-01
54,81.0,2020-10-08
22,19.0,2021-05-06
22,107.0,2021-11-21
18,69.0,2021-07-17
97,132.0,2021-10-16
132,6.0,2021-10-15
70,143.0,2021-07-06
36,85.0,2021-10-12
48,96.0,2021-11-29
7,98.0,2021-09-26
72,102.0,2021-12-24
14,103.0,2021-12-24
54,28.0,2021-08-21
92,97.0,2021-12-13
73,89.0,2020-12-27
146,99.0,2021-06-08
26,90.0,2020-12-31
58,78.0,2021-08-10
54,73.0,2021-06-16
76,90.0,2021-08-22
59,84.0,2021-10-08
66,108.0,2021-07-21
75,86.0,2021-12-15
44,110.0,2021-11-10
23,156.0,2021-09-18
17,114.0,2020-08-03
6,82.0,2020-10-08
61,82.0,2021-10-23
67,142.0,2021-12-24
32,62.0,2021-10-03
49,109.0,2021-08-17
142,58.0,2021-01-01
106,104.0,2021-07-04
67,122.0,2021-01-30
66,71.0,2021-10-24
115,90.0,2021-10-05
13,112.0,2021-05-07
115,113.0,2021-04-25
60,86.0,2021-08-03
46,74.0,2021-07-19
30,154.0,2021-07-25
12,66.0,2021-11-12
87,152.0,2020-12-04
66,138.0,2021-07-26
105,100.0,2021-12-09
106,53.0,2021-06-11
46,134.0,2020-07-27
35,17.0,2020-10-13
97,106.0,2021-10-13
36,3.0,2021-08-31
146,78.0,2020-07-21
33,107.0,2021-03-01
75,156.0,2021-12-11
24,156.0,2020-12-22
51,101.0,2021-07-30
19,103.0,2020-10-01
70,137.0,2021-09-09
87,111.0,2021-05-08
93,93.0,2021-07-01
5,88.0,2021-11-14
54,149.0,2021-01-19
64,143.0,2021-06-12
43,75.0,2021-09-28
71,79.0,2021-10-25
92,71.0,2021-04-29
146,60.0,2021-04-11
74,145.0,2021-06-18
40,132.0,2021-08-11
108,86.0,2021-06-02
52,89.0,2021-07-16
106,104.0,2021-12-21
18,152.0,2021-02-16
21,85.0,2020-07-03
39,124.0,2021-05-10
50,117.0,2021-10-14
44,130.0,2021-09-03
61,108.0,2021-11-02
39,141.0,2021-12-18
15,85.0,2021-06-17
92,116.0,2020-12-26
75,144.0,2021-12-12
