sub_id,estado,fecha_inicio,fecha_termino
1,cancelada,2021-06-08,2021-09-02
2,activa,2020-09-27,
3,activa,2020-09-21,
4,activa,2021-04-19,
5,activa,2020-11-01,
6,activa,2020-10-13,
7,cancelada,2020-06-10,2021-07-26
8,cancelada,2020-05-06,2021-04-26
9,cancelada,2021-01-30,2021-04-18
10,activa,2021-01-04,
11,activa,2020-10-02,
12,activa,2021-06-20,
13,cancelada,2020-08-18,2021-07-14
14,activa,2021-05-21,
15,cancelada,2020-05-05,2021-01-25
16,cancelada,2021-08-30,2021-09-04
17,activa,2020-09-15,
18,cancelada,2021-07-02,2021-10-12
19,activa,2021-10-26,
20,cancelada,2020-08-26,2021-06-13
21,activa,2021-05-25,
22,activa,2021-06-07,
23,activa,2020-09-29,
24,cancelada,2021-05-06,2021-11-10
25,activa,2020-12-28,
26,activa,2020-05-22,
27,cancelada,2021-10-30,2021-11-12
28,activa,2020-05-25,
29,activa,2021-04-17,
30,cancelada,2021-06-06,2021-06-26
31,activa,2021-09-30,
32,activa,2021-04-25,
33,cancelada,2020-12-21,2021-10-01
34,cancelada,2020-08-08,2021-10-01
35,cancelada,2020-09-15,2021-06-07
36,activa,2020-09-11,
37,cancelada,2020-11-09,2021-09-11
38,activa,2021-03-22,
39,cancelada,2021-01-05,2021-09-15
40,cancelada,2021-06-17,2021-11-21
41,activa,2020-11-13,
42,activa,2020-05-22,
43,activa,2021-02-14,
44,activa,2021-01-05,
45,activa,2021-09-11,
46,activa,2020-06-29,
47,activa,2021-03-03,
48,cancelada,2020-08-28,2021-01-26
49,activa,2021-08-11,
50,activa,2021-04-09,
51,activa,2020-08-11,
52,activa,2021-05-05,
53,activa,2020-08-24,
54,activa,2021-06-25,
55,activa,2021-01-30,
56,cancelada,2021-09-18,2021-12-10
57,activa,2021-03-28,
58,cancelada,2021-08-14,2021-10-04
59,cancelada,2020-07-22,2021-01-16
60,cancelada,2020-10-29,2021-09-11
61,cancelada,2021-07-12,2021-09-28
62,cancelada,2020-08-17,2021-05-17
63,activa,2020-12-20,
64,activa,2020-11-25,
65,activa,2020-08-15,
66,activa,2021-07-30,
67,activa,2021-07-18,
68,activa,2021-05-12,
69,activa,2020-05-18,
