pago_id,uid,pid,pro_id,fecha
10716,106,21.0,7.0,2021-12-13
10700,64,59.0,3.0,2021-05-22
10672,17,26.0,6.0,2021-08-04
10387,141,99.0,9.0,2021-03-04
10439,9,97.0,13.0,2021-11-11
10367,48,49.0,16.0,2021-11-20
10400,35,35.0,7.0,2021-08-01
10521,57,99.0,13.0,2021-07-17
10665,5,44.0,13.0,2021-04-19
10449,47,64.0,7.0,2021-02-17
10453,62,11.0,17.0,2021-12-22
10626,46,20.0,10.0,2021-03-11
10454,62,81.0,5.0,2021-06-02
10546,12,50.0,3.0,2021-11-17
10632,46,45.0,16.0,2021-11-26
10406,45,65.0,16.0,2021-09-26
10382,141,31.0,9.0,2020-11-04
10415,82,38.0,18.0,2020-12-31
10522,57,75.0,7.0,2021-11-23
10366,48,97.0,13.0,2021-12-22
10422,59,97.0,13.0,2021-03-09
10491,69,83.0,14.0,2021-05-22
10444,32,65.0,16.0,2021-10-18
10556,13,5.0,10.0,2021-05-05
10567,53,5.0,11.0,2021-11-25
10575,72,93.0,8.0,2021-05-20
10681,130,41.0,4.0,2021-07-26
10587,19,8.0,7.0,2020-07-14
10464,105,35.0,2.0,2021-11-09
10736,115,42.0,12.0,2020-10-14
10471,41,26.0,6.0,2021-05-03
10401,45,68.0,19.0,2020-05-31
10568,53,84.0,11.0,2021-11-25
10619,87,42.0,4.0,2021-07-12
10455,62,60.0,4.0,2021-08-15
10687,52,95.0,6.0,2020-10-22
10398,35,5.0,16.0,2021-08-22
10516,36,75.0,6.0,2021-07-11
10524,57,101.0,1.0,2021-11-21
10452,62,54.0,5.0,2021-10-27
10533,20,51.0,5.0,2021-08-17
10721,4,31.0,9.0,2021-08-02
10440,30,53.0,6.0,2021-06-01
10602,28,99.0,19.0,2021-04-19
10550,21,75.0,2.0,2021-09-28
10407,45,79.0,19.0,2020-11-09
10722,4,100.0,1.0,2021-02-06
10553,21,62.0,11.0,2021-10-16
10560,43,74.0,14.0,2021-11-10
10502,51,72.0,19.0,2021-01-03
10518,75,83.0,14.0,2021-12-11
10551,21,13.0,11.0,2021-11-16
10472,41,77.0,18.0,2021-04-16
10651,31,73.0,13.0,2021-09-23
10566,53,13.0,11.0,2021-11-23
10615,56,60.0,14.0,2020-09-26
10507,74,19.0,17.0,2021-09-29
10654,31,44.0,13.0,2021-08-20
10531,20,83.0,5.0,2021-12-04
10686,52,75.0,6.0,2020-12-28
10660,63,1.0,10.0,2021-05-03
10484,133,65.0,16.0,2021-10-05
10620,46,42.0,17.0,2021-09-16
10536,20,81.0,5.0,2021-10-12
10496,92,85.0,14.0,2021-08-08
10420,59,73.0,13.0,2021-01-24
10441,32,42.0,12.0,2021-05-09
10448,47,48.0,7.0,2020-10-30
10380,48,38.0,16.0,2020-11-16
10685,52,5.0,5.0,2021-08-22
10404,45,45.0,16.0,2021-11-02
10513,36,49.0,16.0,2021-04-12
10489,133,62.0,11.0,2021-08-22
10470,41,2.0,1.0,2021-12-14
10481,133,49.0,16.0,2021-10-04
10450,47,88.0,5.0,2021-02-15
10713,142,21.0,16.0,2021-12-26
10564,22,53.0,6.0,2021-12-23
10692,119,42.0,4.0,2021-12-03
10383,141,19.0,14.0,2021-03-19
10457,105,82.0,10.0,2021-02-11
10492,70,93.0,8.0,2021-06-01
10414,82,76.0,18.0,2021-08-18
10434,9,31.0,13.0,2021-11-11
10368,48,95.0,16.0,2021-10-06
10725,38,44.0,13.0,2021-03-22
10482,133,38.0,16.0,2021-09-21
