pago_id,monto,fecha,uid,subs_id,pid,pro_id
10117,7100,2021-02-28,4,392,,
7359,3700,2021-11-17,33,105,,
6921,4500,2021-07-24,108,53,,
8032,3900,2021-09-20,12,173,,
7764,4000,2021-05-23,36,145,,
10276,3700,2021-06-09,115,405,,
8528,6500,2021-03-28,122,224,,
9534,4000,2021-08-16,61,325,,
7101,7400,2021-09-18,44,74,,
8662,4000,2021-05-01,54,237,,
6503,6500,2021-10-20,35,12,,
6834,3700,2021-11-11,105,45,,
9602,7100,2021-11-20,8,329,,
7125,3700,2020-10-05,44,77,,
10194,4000,2020-12-11,115,400,,
9277,3200,2021-12-16,65,298,,
10174,4000,2021-11-25,93,396,,
7132,3900,2021-08-09,67,78,,
9597,3700,2021-08-23,61,328,,
9200,3700,2020-11-06,49,291,,
8907,3500,2021-04-22,3,260,,
7624,6400,2021-12-26,74,132,,
9558,6500,2021-01-27,61,327,,
10727,8000,2021-12-08,93,,35,7
8825,7900,2020-11-23,16,254,,
7240,7000,2021-11-15,70,89,,
7402,2800,2021-02-21,37,110,,
7937,6400,2021-07-12,14,163,,
8489,6500,2021-06-27,19,218,,
9356,7100,2020-11-03,11,307,,
7785,3900,2021-11-04,75,146,,
7154,7000,2021-11-27,67,80,,
8241,7900,2021-09-06,13,192,,
8714,3700,2021-09-02,50,243,,
10643,7500,2021-08-02,24,,14,2
9629,3700,2021-12-21,8,332,,
6500,6500,2021-07-20,35,12,,
7231,7000,2021-02-15,70,89,,
7013,4000,2021-04-25,10,64,,
7874,3100,2021-06-14,57,156,,
10470,8500,2021-12-14,41,,2,1
9752,6500,2021-09-28,52,343,,
8416,3200,2020-11-07,72,213,,
10582,8500,2020-09-15,19,,42,7
7280,3700,2021-02-09,92,97,,
7559,4400,2021-12-11,2,124,,
7399,2800,2020-11-21,37,110,,
8010,3200,2021-12-02,14,170,,
7667,4000,2021-11-10,55,136,,
8698,7100,2021-10-17,50,242,,
9694,6500,2020-12-13,17,337,,
6470,7400,2021-03-28,141,9,,
8671,3700,2021-02-16,54,238,,
6902,3500,2021-05-05,27,52,,
9686,3900,2021-11-25,17,336,,
9363,7100,2021-06-03,11,307,,
8617,3100,2021-02-05,28,231,,
9190,3500,2021-08-13,26,290,,
10217,7000,2021-10-24,115,401,,
10618,4500,2021-11-10,87,,101,4
9020,6400,2021-04-09,23,272,,
8822,7900,2020-08-23,16,254,,
7939,6400,2021-09-12,14,163,,
8390,2800,2021-08-21,22,207,,
8240,7900,2021-08-06,13,192,,
9195,3700,2020-06-06,49,291,,
6656,4000,2021-05-25,9,28,,
8499,7400,2021-05-10,19,219,,
7912,3700,2020-10-05,58,160,,
6678,3700,2021-04-25,32,32,,
7026,5000,2020-12-15,10,65,,
6987,3100,2020-10-17,42,62,,
10322,3200,2021-03-04,6,408,,
7304,3100,2021-10-28,33,99,,
7539,4500,2021-11-21,2,123,,
10279,3700,2021-09-09,115,405,,
8845,7900,2021-09-24,56,255,,
8171,4400,2021-05-24,18,186,,
9822,7400,2021-10-15,119,349,,
9887,4400,2021-08-01,64,356,,
7830,7100,2021-02-17,57,153,,
9362,7100,2021-05-03,11,307,,
9259,4000,2021-04-03,65,297,,
7802,4000,2021-05-24,71,150,,
6720,7100,2021-04-15,47,35,,
7335,3700,2021-10-01,33,101,,
7324,3700,2020-11-01,33,101,,
9263,4000,2021-08-03,65,297,,
8439,7900,2020-06-09,72,215,,
9207,3700,2021-06-06,49,291,,
7282,3700,2021-04-09,92,97,,
6747,4400,2021-07-09,62,37,,
7005,2800,2021-10-20,10,63,,
10684,4500,2021-11-01,52,,73,13
8052,3200,2021-12-12,12,174,,
9387,6500,2021-06-17,31,310,,
8703,3700,2020-10-02,50,243,,
7791,3200,2020-07-20,75,148,,
7492,7000,2020-10-28,2,120,,
8902,3500,2020-11-22,3,260,,
6948,3200,2021-11-18,108,56,,
8097,3700,2020-10-28,21,180,,
7296,7900,2021-10-23,80,98,,
10696,4000,2021-09-09,64,,48,7
7878,3100,2021-10-14,57,156,,
10002,4500,2021-02-10,25,368,,
8527,6500,2021-02-28,122,224,,
6416,3100,2021-02-01,48,5,,
9852,3200,2021-01-01,119,353,,
8132,3100,2020-11-20,21,182,,
7420,3700,2020-08-07,51,113,,
9477,4500,2021-03-28,63,320,,
8484,6500,2021-01-27,19,218,,
9058,4400,2020-11-04,46,275,,
6935,7900,2021-02-28,108,55,,
8900,3500,2020-09-22,3,260,,
9930,4400,2021-09-07,73,361,,
7550,4400,2021-03-11,2,124,,
8451,7900,2021-06-09,72,215,,
7744,4500,2020-09-04,36,144,,
8612,3100,2020-09-05,28,231,,
9959,3500,2021-09-12,73,364,,
7864,3100,2020-08-14,57,156,,
9479,4500,2021-05-28,63,320,,
7923,3700,2021-09-05,58,160,,
10558,1000,2021-08-25,43,,20,7
10280,3700,2021-10-09,115,405,,
10506,4000,2021-06-12,39,,83,14
8776,5000,2021-09-01,16,248,,
